payment_id,team_id,review_id,category_id,rating,cause,rating_max,weight,critical,category_name
10007,10883,397784,15361,2,[],3,1,FALSE,
10007,10883,397784,15362,3,[],3,1,TRUE,
10007,10883,471027,15362,,[],3,1,TRUE,Empathy/Tone
10007,10883,471028,15362,,[],3,1,TRUE,Empathy/Tone
10007,10883,471027,15363,,[],3,0,FALSE,Product knowledge
10007,10883,471028,15363,,[],3,0,FALSE,Product knowledge
10007,10883,397784,15363,,[],3,0,FALSE,
10007,10883,397784,19985,,[],2,1,FALSE,
10007,10883,471028,19985,2,[],2,1,FALSE,Product
10007,10883,471027,19985,2,[],2,1,FALSE,Product
10007,10883,397784,19986,1,[],2,1,FALSE,
10007,10883,471027,19986,2,[],2,1,FALSE,GDPR
10007,10883,471028,19986,2,[],2,1,FALSE,GDPR
10007,10883,397784,19987,,[],2,1,FALSE,
10007,10883,471028,19987,2,[],2,1,FALSE,Knowledge base
10007,10883,471027,19987,2,[],2,1,FALSE,Knowledge base
10007,11174,457823,54335,,[],4,1,FALSE,AutoTone
10007,11174,452251,54335,4,[],4,1,FALSE,AutoTone
10007,11174,453870,54335,3,[],4,1,FALSE,AutoTone
10007,11174,456522,54335,3,[],4,1,FALSE,AutoTone
10007,11174,452251,54336,,[],1,1,FALSE,AutoSolution
10007,11174,453870,54336,,[],1,1,FALSE,AutoSolution
10007,11174,456522,54336,0,[],1,1,FALSE,AutoSolution
10007,11174,457823,54336,,[],1,1,FALSE,AutoSolution
10007,11174,453870,54337,,[],1,1,FALSE,AutoClosing
10007,11174,457823,54337,,[],1,1,FALSE,AutoClosing
10007,11174,456522,54337,0,[],1,1,FALSE,AutoClosing
10007,11174,452251,54337,,[],1,1,FALSE,AutoClosing
10007,10883,471027,59745,2,[],3,1,TRUE,critical Solution
10007,10883,471028,59746,2,[],4,1,TRUE,critical Solution
10007,10725,322625,15211,0,"[""Other agent - Processing""]",2,1,FALSE,
10007,10725,322627,15211,0,"[""Other agent - Processing""]",2,1,FALSE,
10007,10725,322627,15213,0,"[""Other agent - Outcome/decision""]",2,1,TRUE,
10007,11139,322526,31393,1,"[""Other""]",1,2,FALSE,
10007,11139,322575,31393,1,"[""Other""]",1,2,FALSE,
10007,11139,322526,31395,0,"[""Other""]",1,1,FALSE,
10007,11139,322575,31395,1,"[""Other""]",1,1,FALSE,
10007,10883,471028,51115,,[],1,1,FALSE,Solution
10007,10883,471027,51115,,[],1,1,FALSE,Solution
10007,10883,471027,18619,,[],3,0,FALSE,test cat
10007,10883,397784,18619,,[],3,0,FALSE,
10007,10883,471028,18619,,[],3,0,FALSE,test cat
10007,10883,471027,35800,,[],3,1,FALSE,Solution
10007,10883,397784,35800,,[],3,1,FALSE,
10007,10883,471028,35800,,[],3,1,FALSE,Solution
10007,11696,466923,51170,1,[],1,1,TRUE,Autoqa test
10007,10883,471028,34535,2,[],2,1,FALSE,Test
10007,10883,471027,34535,2,[],2,1,FALSE,Test
10007,10883,397784,34535,,[],2,1,FALSE,
10007,11174,456522,37114,3,[],4,1,FALSE,AutoGrammar
10007,11174,452251,37114,4,[],4,1,FALSE,AutoGrammar
10007,11174,453870,37114,4,[],4,1,FALSE,AutoGrammar
10007,11174,457823,37114,4,[],4,1,FALSE,AutoGrammar
10007,11174,457823,37115,,[],1,1,FALSE,AutoGreeting
10007,11174,452251,37115,0,[],1,1,FALSE,AutoGreeting
10007,11174,456522,37115,0,[],1,1,FALSE,AutoGreeting
10007,11174,453870,37115,,[],1,1,FALSE,AutoGreeting
10007,11174,457823,37116,1,[],1,1,FALSE,AutoEmpathy
10007,11174,452251,37116,,[],1,1,FALSE,AutoEmpathy
10007,11174,456522,37116,,[],1,1,FALSE,AutoEmpathy
10007,11174,453870,37116,1,[],1,1,FALSE,AutoEmpathy
10007,11578,322573,30781,42,[],1,1,TRUE,
10007,11578,322573,30782,42,[],2,1,FALSE,
10007,11578,322573,30790,42,[],3,1,FALSE,
10007,11578,322573,30792,42,[],3,1,FALSE,
10007,11174,341558,20318,42,[],3,1,FALSE,
10007,11174,343090,20318,42,[],3,1,FALSE,
10007,11174,341558,20319,42,[],3,1,FALSE,
10007,11174,343090,20319,42,[],3,1,FALSE,
10007,11174,341558,20320,42,[],3,1,FALSE,
10007,11174,343090,20320,42,[],3,1,FALSE,
10007,10725,320937,15210,0,[],2,1,FALSE,
10007,10725,322627,15210,1,[],2,1,FALSE,
10007,10725,322625,15210,1,[],2,1,FALSE,
10007,10725,321045,15210,1,[],2,1,FALSE,
10007,10725,320939,15210,0,[],2,1,FALSE,
10007,10725,321045,15211,1,[],2,1,FALSE,
10007,10725,320937,15211,0,[],2,1,FALSE,
10007,10725,320939,15211,0,[],2,1,FALSE,
10007,10725,322625,15212,42,[],2,1,TRUE,
10007,10725,320937,15212,0,[],2,1,TRUE,
10007,10725,320939,15212,0,[],2,1,TRUE,
10007,10725,322627,15212,42,[],2,1,TRUE,
