autoqa_rating_id,category,count,root_cause
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,concerned
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,supportive
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,appreciative
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,appreciative
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,appreciative
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,appreciative
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,appreciative
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,appreciative
c068175a-6c90-4722-8d75-c0263538eab8,,1,appreciative
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,appreciative
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,appreciative
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,appreciative
d59f3518-4440-4661-9d1b-f943f2037334,,1,appreciative
7b2fc30c-9735-4432-8da9-922270fd0109,,1,appreciative
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,appreciative
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,appreciative
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,appreciative
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
3edf150e-1f32-4349-b830-0fcf6d3447c0,,1,friendly
e82a770c-df33-408f-ba8d-09c2bffd0ac6,,1,friendly
9e43ffa7-3557-484b-a0f2-08ff9869d40f,,1,friendly
86e1268e-98fa-4d9a-8536-b1eca2af609f,,1,friendly
c068175a-6c90-4722-8d75-c0263538eab8,,1,friendly
477c7a05-a337-4b0a-ac06-f7d8aa97e09b,,1,friendly
a2c7822b-a62b-4cc2-b2ac-a57e42cc311e,,1,friendly
b3cff4b5-3c7c-4683-ba8a-959bead35721,,1,friendly
d59f3518-4440-4661-9d1b-f943f2037334,,1,friendly
7b2fc30c-9735-4432-8da9-922270fd0109,,1,friendly
e48fb5b1-bcae-4273-8aa8-8b564f498148,,1,friendly
1351dd0e-6c86-420a-ba07-4dad083f4888,,1,friendly
76c0af71-6b4e-4992-8ef4-06a0dc7b1435,,1,friendly
32d4ab46-61a1-4ac8-b804-6e6d18e2422f,,1,friendly
