autoqa_review_id,payment_id,payment_token_id,external_ticket_id,created_at,conversation_created_at,conversation_created_date,team_id,reviewee_internal_id,updated_at
6c31b095-22d7-411d-b7a6-c9da0f3cf8df,10007,1001883,149309300326942,2023-09-19 22:10:51.547658 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10499,10155,2023-09-19 22:10:51.547658 UTC
fdb2da8a-7994-49ec-b18f-40fcad7ab7f0,10007,1001883,149309300326942,2023-09-19 20:01:16.991559 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11123,10155,2023-09-19 20:01:16.991559 UTC
3b5029c0-eecd-4046-9e40-801539efb033,10007,1001883,149309300326942,2023-09-19 22:10:52.456668 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10005,10155,2023-09-19 22:10:52.456668 UTC
5c45bc28-edf5-4a6a-abea-462876847a14,10007,1001883,149309300326942,2023-09-19 17:51:24.713571 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11854,10155,2023-09-19 17:51:24.713571 UTC
5f1885ad-bc09-4444-abdb-68d7bbc82672,10007,1001883,149309300326942,2023-09-19 17:51:23.537391 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10491,10155,2023-09-19 17:51:23.537391 UTC
cdbc770f-fa74-41df-b76f-73e341de1c75,10007,1001883,149309300326942,2023-09-19 22:10:50.612598 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11855,10155,2023-09-19 22:10:50.612598 UTC
aa33a65a-5369-4a98-b47e-9e2f35169a4f,10007,1001883,149309300326942,2023-09-18 17:40:56.520527 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11183,10155,2023-09-18 17:40:56.520527 UTC
c8c10f44-4ba2-4df6-9f47-d28bc71ebf2e,10007,1001883,149309300326942,2023-09-18 17:40:58.031057 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11642,10155,2023-09-18 17:40:58.031057 UTC
81bf71b8-8cb3-4f09-8ab7-e0b2e600c131,10007,1001883,149309300326942,2023-09-18 17:40:58.215556 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11179,10155,2023-09-18 17:40:58.215557 UTC
10dd5423-d0c9-479c-92e8-e89be59b5dc7,10007,1001883,149309300326942,2023-09-19 22:10:50.804847 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10883,10155,2023-09-19 22:10:50.804847 UTC
162b5f8e-925f-4bae-9cc5-30f21de41aa1,10007,1001883,149309300326942,2023-09-19 09:12:27.148013 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10244,10155,2023-09-19 09:12:27.148013 UTC
366892c7-b9c7-4749-ab3d-e6c64a78627e,10007,1001883,149309300326942,2023-09-18 17:40:57.401719 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10040,10155,2023-09-18 17:40:57.401720 UTC
a4292f8c-a7f6-46e5-a8a2-0116905939dd,10007,1001883,149309300326942,2023-09-19 09:12:29.046704 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11174,10155,2023-09-19 09:12:29.046704 UTC
8ecb991d-f18d-4189-9844-bd53df6da194,10007,1001883,149309300326942,2023-09-18 17:40:59.257625 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11186,10155,2023-09-18 17:40:59.257625 UTC
26a0738f-4f3c-40be-b4fa-82097c197c85,10007,1001883,149309300326942,2023-09-19 22:10:50.983531 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10932,10155,2023-09-19 22:10:50.983531 UTC
f1f9c0fa-e868-448b-933c-2e900aceebd7,10007,1001883,149309300326942,2023-09-19 17:51:25.040605 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11696,10155,2023-09-19 17:51:25.040605 UTC
15d72b4c-1f10-492a-95a1-9f35478f21c6,10007,1001883,149309300326942,2023-09-19 17:51:24.879741 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11578,10155,2023-09-19 17:51:24.879741 UTC
cdcf5a28-24ae-47cb-af14-820294e4d519,10007,1001883,149309300326942,2023-09-19 20:01:17.302993 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11179,22304,2023-09-19 20:01:17.302993 UTC
e14632db-d144-4178-a1c0-63b9052b46af,10007,1001883,149309300326942,2023-09-19 17:51:23.478449 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10491,22304,2023-09-19 17:51:23.478449 UTC
a142b5c3-df6c-46d1-ae61-b862dbe1e636,10007,1001883,149309300326942,2023-09-19 22:10:51.842715 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11642,22304,2023-09-19 22:10:51.842715 UTC
2cc0cf04-9875-475f-98fd-883851285f4c,10007,1001883,149309300326942,2023-09-19 17:51:22.949234 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10883,22304,2023-09-19 17:51:22.949234 UTC
2c5fe8a2-e603-45d9-a7c6-68b90de5b726,10007,1001883,149309300326942,2023-09-18 17:40:56.473225 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11183,22304,2023-09-18 17:40:56.473226 UTC
752dffc5-14f8-455f-aa40-ecf34de81894,10007,1001883,149309300326942,2023-09-18 17:40:57.676763 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10499,22304,2023-09-18 17:40:57.676763 UTC
a76913cd-5ffd-4f84-a89a-2c8e55a0f1de,10007,1001883,149309300326942,2023-09-19 17:51:22.613968 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10244,22304,2023-09-19 17:51:22.613969 UTC
9c87c96c-2407-45c8-9d1b-bd16c6eb1962,10007,1001883,149309300326942,2023-09-19 17:51:25.150586 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11186,22304,2023-09-19 17:51:25.150586 UTC
7db5b8e8-45a7-43c6-abac-8af703d9d556,10007,1001883,149309300326942,2023-09-19 20:01:18.084094 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11578,22304,2023-09-19 20:01:18.084094 UTC
bb53d2ab-d2ec-4f55-8112-798ff4ebd918,10007,1001883,149309300326942,2023-09-19 17:51:23.305441 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,10040,22304,2023-09-19 17:51:23.305441 UTC
a0770aff-69bb-4cd9-a4d2-8d20704c5ca8,10007,1001883,149309300326942,2023-09-19 22:10:50.554307 UTC,2023-03-14 12:38:23.000000 UTC,2023-03-14,11855,22304,2023-09-19 22:10:50.554307 UTC
